mi_quality,transcript_id,interlocutor,utterance_text,client:_talk_type
high,0,client:,Sure.,neutral
high,0,client:,Mm-hmm.,neutral
high,0,client:,Usually three drinks and glasses of wine.,neutral
high,0,client:,Something like that.,neutral
high,0,client:,Okay.,neutral
high,0,client:,"Well, I usually drink when I'm at home trying to unwind and I drink while I'm watching a movie. And sometimes, um, I take a bath but I also drink when I take a bath sometimes.",neutral
high,0,client:,Okay.,neutral
high,0,client:,Hmm. Seven?,neutral
high,0,client:,Wow. I knew my doctor didn't like me drinking the amount that I did but I didn't know that seven was the limit.,neutral
high,0,client:,Yes. What-what kind of health problems?,neutral
high,0,client:,"Hmm. Well, that's not good news.",neutral
high,0,client:,"Well, to be honest, I drink sometimes when I'm feeling down and I find it more interesting and not so blur.",neutral
high,0,client:,"Well, then I feel blur again.",neutral
high,0,client:,Yes on occasion.,neutral
high,0,client:,Sometimes I just don't like how much I drink. I sometimes finish a bottle in one night.,neutral
high,0,client:,"No, it's not like I get crazy or anything but I just don't like the amount that I'm drinking.",neutral
high,0,client:,"Mm-hmm. Yes, sometimes I feel worse after drinking.",neutral
high,0,client:,"Well, I don't think that I'm ready to cut down to seven drinks a week. That seems like a lot but I would consider cutting back to two drinks a night. I think that would be my goal.",change
high,0,client:,I'd say an eight.,change
high,0,client:,"Well, I'm more ready than a six because I'm ready to cut back on my drinking and I don't wanna make my depression any worse.",change
high,0,client:,Maybe having less wine in the house.,change
high,0,client:,Yes.,change
high,0,client:,"Well, I like to watch movies, read a book, and take a bath but sometimes I drink when I take a bath.",neutral
high,0,client:,Mm-hmm. Yes.,neutral
high,0,client:,Yes.,change
high,0,client:,Sure.,change
high,0,client:,Okay.,change
high,1,client:,Sure.,neutral
high,1,client:,"Yeah, but only on the weekend.",sustain
high,1,client:,"Yeah. Uh, maybe a couple more.",neutral
high,1,client:,"So, uh, are you saying I drink too much?",sustain
high,1,client:,"Well, I-- If-if I was getting fallen down drunk or if I drink every night. Um, it's not like I get sloppy drunk or anything.",sustain
high,1,client:,So I'm already at the week limit. And then I have four beers a night. Are you sure?,sustain
high,1,client:,I have five or six beers when I go out with friends to a bar. It's not a problem for me.,sustain
high,1,client:,"Well, I don't consider my drinking binge drinking.",sustain
high,1,client:,I don't chug a lot of beers in a row. I have about five or six beers throughout the entire evening.,sustain
high,1,client:,But I'm healthy. What health problems are you talking about?,sustain
high,1,client:,"Well, I didn't know about those things.",neutral
